Dyad,Player,Genero,Edad,Carrera,Estrategia,Mensajes,Categoria
68296-79181,791815414804861,0,2,0,1,['1'],"['0', '2']"
68296-79181,682968760587133,0,1,0,1,['0'],"['1', '3']"
