Dyad,Player,Stage,Round,Object,Label
71880-15464,718801276637245,1,1,D15.jpg,Nada
71880-15464,718801276637245,1,1,D20.jpg,Nada
71880-15464,718801276637245,1,1,D21.jpg,Nada
71880-15464,718801276637245,1,1,B24.jpg,Nada
71880-15464,718801276637245,1,1,B4.jpg,Nada
71880-15464,154641966004436,1,1,C20.jpg,Nada
71880-15464,154641966004436,1,1,A3.jpg,Nada
71880-15464,154641966004436,1,1,C12.jpg,Nada
71880-15464,154641966004436,1,1,C8.jpg,Nada
71880-15464,154641966004436,1,1,A17.jpg,Nada
