Dyad,Player,Round,objectMarked
24333-14307,143073090680852,8,Otro-A-B-VP-HI
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Otro-A-B-VP-HI
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,9,Otro-R-B-VP-HI
24333-14307,143073090680852,9,Otro-R-B-VP-HI
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,10,Xol
24333-14307,143073090680852,10,Xol
24333-14307,143073090680852,10,Xol
24333-14307,143073090680852,10,Xol
24333-14307,143073090680852,10,Otro-R-G-VP-HI
24333-14307,143073090680852,10,Xol
24333-14307,143073090680852,11,Xol
24333-14307,143073090680852,11,Xol
24333-14307,143073090680852,11,Xol
24333-14307,143073090680852,11,Xol
24333-14307,143073090680852,11,Xol
24333-14307,143073090680852,11,Xol
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Otro-A-G-VP-HI
24333-14307,143073090680852,12,Xol
24333-14307,143073090680852,12,Otro-A-G-VP-HI
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Xol
24333-14307,143073090680852,13,Otro-R-G-VP-HI
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Dup
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,14,Xol
24333-14307,143073090680852,15,Otro-A-B-VP-HI
24333-14307,143073090680852,15,Xol
24333-14307,143073090680852,15,Xol
24333-14307,143073090680852,15,Xol
24333-14307,143073090680852,15,Xol
24333-14307,143073090680852,15,Xol
24333-14307,243335730149512,15,Xol
24333-14307,143073090680852,15,Otro-R-B-VP-HI
58645-94940,58645334229734,1,Otro-R-B-VP-HI
58645-94940,58645334229734,2,Dup
58645-94940,58645334229734,3,Dup
58645-94940,58645334229734,3,Dup
58645-94940,58645334229734,3,Otro-R-B-VP-HI
58645-94940,58645334229734,3,Otro-R-B-VP-HI
58645-94940,58645334229734,4,Otro-R-B-VP-HI
58645-94940,58645334229734,4,Xol
58645-94940,58645334229734,5,Otro-A-B-VP-HI
58645-94940,58645334229734,5,Otro-R-B-VP-HI
58645-94940,58645334229734,7,Otro-A-B-VP-HI
58645-94940,58645334229734,8,Xol
67650-83225,676509723803711,1,Xol
67650-83225,676509723803711,2,Otro-R-G-VP-HI
67650-83225,676509723803711,3,Xol
67650-83225,676509723803711,7,Otro-A-G-VP-HI
67650-83225,676509723803711,7,Otro-R-G-VP-HI
67650-83225,676509723803711,8,Otro-R-B-VP-HI
67650-83225,676509723803711,9,Otro-A-B-VP-HI
67650-83225,676509723803711,9,Otro-R-B-VP-HI
67650-83225,676509723803711,10,Otro-R-B-VP-HI
67650-83225,676509723803711,12,Otro-A-B-VP-HI
67650-83225,832258063687708,12,Otro-A-G-VP-HI
67650-83225,832258063687708,14,Otro-A-G-VP-HI
67650-83225,676509723803711,15,Xol
97905-95537,979055358104963,1,Dup
97905-95537,955374253452026,1,Xol
97905-95537,955374253452026,1,Otro-A-B-VP-HI
97905-95537,955374253452026,1,Xol
97905-95537,979055358104963,1,Dup
97905-95537,955374253452026,1,Xol
