Contador,Dyad,Perro,Player,Rotulo,Round,Stage,siNo,suposicion
3,74480-84233,Perro1,842338726347337,A,1,2,-,Nada
3,74480-84233,Perro5,842338726347337,A,2,2,-,A
3,74480-84233,Perro1,842338726347337,D,5,2,-,Nada
3,74480-84233,Perro2,842338726347337,D,5,2,-,Nada
3,74480-84233,Perro3,842338726347337,B,5,2,-,B
