,Unnamed: 0,Player,Kind,numera,N,indice,promedio,desvest,zUSo,ID
0,1,512381829158551,B,6,7,0.857142857142857,0.809965473255492,0.258003045341033,0.182855918716018,123795257479166B
1,2,512381829158551,D,7,7,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,123795257479166D
2,3,56585762474570,B,42,46,0.91304347826087,0.809965473255492,0.258003045341033,0.39952243536167203,133644391566106B
3,4,56585762474570,D,39,45,0.866666666666667,0.809965473255492,0.258003045341033,0.21976947340379605,133644391566106D
4,5,835804561913525,B,9,10,0.9,0.809965473255492,0.258003045341033,0.34896691481102005,137619579400459B
5,6,835804561913525,D,6,7,0.857142857142857,0.809965473255492,0.258003045341033,0.182855918716018,137619579400459D
6,7,951034904396380,A,25,26,0.961538461538462,0.809965473255492,0.258003045341033,0.587485268178202,153498218008918A
7,8,951034904396380,C,21,23,0.91304347826087,0.809965473255492,0.258003045341033,0.39952243536167203,153498218008918C
8,9,919215741319732,A,8,13,0.615384615384615,0.809965473255492,0.258003045341033,-0.7541804695121971,180672638373464A
9,10,919215741319732,C,8,8,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,180672638373464C
10,11,281417746344637,B,27,28,0.9642857142857142,0.809965473255492,0.258003045341033,0.598133408953522,21409433577947B
11,12,281417746344637,D,24,24,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,21409433577947D
12,13,522058605648886,B,16,16,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,235859731771768B
13,14,522058605648886,D,16,16,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,235859731771768D
14,15,42404690668940,A,28,31,0.9032258064516129,0.809965473255492,0.258003045341033,0.361469893011719,277030367725057A
15,16,42404690668940,C,34,34,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,277030367725057C
16,17,21409433577947,A,17,19,0.8947368421052628,0.809965473255492,0.258003045341033,0.328567318799353,281417746344637A
17,18,21409433577947,C,3,12,0.25,0.809965473255492,0.258003045341033,-2.1703831926298403,281417746344637C
18,19,696092780970702,A,2,3,0.666666666666667,0.809965473255492,0.258003045341033,-0.5554151750395461,32111755046981A
19,20,696092780970702,C,3,3,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,32111755046981C
20,21,781261847597636,A,1,5,0.2,0.809965473255492,0.258003045341033,-2.36417935474068,355721802475635A
21,22,781261847597636,C,1,8,0.125,0.809965473255492,0.258003045341033,-2.65487359790693,355721802475635C
22,23,916659229295256,B,4,5,0.8,0.809965473255492,0.258003045341033,-0.0386254094106509,362421570668147B
23,24,916659229295256,D,1,1,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,362421570668147D
24,25,459819203408978,B,20,20,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,38174543864515B
25,26,459819203408978,D,22,23,0.956521739130435,0.809965473255492,0.258003045341033,0.568040837197181,38174543864515D
26,27,943864992920336,B,27,27,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,402371639059063B
27,28,943864992920336,D,18,20,0.9,0.809965473255492,0.258003045341033,0.34896691481102005,402371639059063D
28,29,277030367725057,B,15,17,0.882352941176471,0.809965473255492,0.258003045341033,0.28056826936013596,42404690668940B
29,30,277030367725057,D,27,29,0.931034482758621,0.809965473255492,0.258003045341033,0.46925418784533096,42404690668940D
30,31,38174543864515,A,16,19,0.842105263157895,0.809965473255492,0.258003045341033,0.124571358682684,459819203408978A
31,32,38174543864515,C,15,16,0.9375,0.809965473255492,0.258003045341033,0.494314036394146,459819203408978C
32,33,123795257479166,A,18,18,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,512381829158551A
33,34,123795257479166,C,17,19,0.8947368421052628,0.809965473255492,0.258003045341033,0.328567318799353,512381829158551C
34,35,235859731771768,A,26,29,0.8965517241379308,0.809965473255492,0.258003045341033,0.33560166225165194,522058605648886A
35,36,235859731771768,C,14,15,0.933333333333333,0.809965473255492,0.258003045341033,0.478164356218243,522058605648886C
36,37,668507302070680,B,1,2,0.5,0.809965473255492,0.258003045341033,-1.2014023820756599,563641349706418B
37,38,668507302070680,D,0,1,0.0,0.809965473255492,0.258003045341033,-3.1393640031840198,563641349706418D
38,39,939838105107843,A,4,7,0.5714285714285711,0.809965473255492,0.258003045341033,-0.924550721917327,563859218939246A
39,40,939838105107843,C,4,5,0.8,0.809965473255492,0.258003045341033,-0.0386254094106509,563859218939246C
40,41,133644391566106,A,22,24,0.916666666666667,0.809965473255492,0.258003045341033,0.41356563551463105,56585762474570A
41,42,133644391566106,C,21,21,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,56585762474570C
42,43,563641349706418,A,10,15,0.666666666666667,0.809965473255492,0.258003045341033,-0.5554151750395461,668507302070680A
43,44,563641349706418,C,11,12,0.916666666666667,0.809965473255492,0.258003045341033,0.41356563551463105,668507302070680C
44,45,32111755046981,B,3,3,1.0,0.809965473255492,0.258003045341033,0.7365592390326899,696092780970702B
45,46,874807326893128,A,24,25,0.96,0.809965473255492,0.258003045341033,0.5815223093440219,760791662383499A
