"","Player","Kind","numera","N","indice","promedio","desvest","zUSo"
"1","123795257479166","B",7,7,1,0.883079044829949,0.234041219248085,0.499574201269706
"2","123795257479166","D",7,7,1,0.883079044829949,0.234041219248085,0.499574201269706
"3","133644391566106","B",46,46,1,0.883079044829949,0.234041219248085,0.499574201269706
"4","133644391566106","D",42,45,0.933333333333333,0.883079044829949,0.234041219248085,0.214724092896277
"5","137619579400459","B",10,10,1,0.883079044829949,0.234041219248085,0.499574201269706
"6","137619579400459","D",6,7,0.857142857142857,0.883079044829949,0.234041219248085,-0.110818888101928
"7","153498218008918","A",26,26,1,0.883079044829949,0.234041219248085,0.499574201269706
"8","153498218008918","C",23,23,1,0.883079044829949,0.234041219248085,0.499574201269706
"9","180672638373464","A",10,13,0.769230769230769,0.883079044829949,0.234041219248085,-0.486445404638318
"10","180672638373464","C",8,8,1,0.883079044829949,0.234041219248085,0.499574201269706
"11","21409433577947","B",27,28,0.964285714285714,0.883079044829949,0.234041219248085,0.346975928926798
"12","21409433577947","D",24,24,1,0.883079044829949,0.234041219248085,0.499574201269706
"13","235859731771768","B",16,16,1,0.883079044829949,0.234041219248085,0.499574201269706
"14","235859731771768","D",16,16,1,0.883079044829949,0.234041219248085,0.499574201269706
"15","277030367725057","A",31,31,1,0.883079044829949,0.234041219248085,0.499574201269706
"16","277030367725057","C",34,34,1,0.883079044829949,0.234041219248085,0.499574201269706
"17","281417746344637","A",18,19,0.947368421052632,0.883079044829949,0.234041219248085,0.274692536764367
"18","281417746344637","C",11,12,0.916666666666667,0.883079044829949,0.234041219248085,0.14351156580292
"19","32111755046981","A",2,3,0.666666666666667,0.883079044829949,0.234041219248085,-0.92467634059744
"20","32111755046981","C",3,3,1,0.883079044829949,0.234041219248085,0.499574201269706
"21","355721802475635","A",1,5,0.2,0.883079044829949,0.234041219248085,-2.91862709921144
"22","355721802475635","C",1,8,0.125,0.883079044829949,0.234041219248085,-3.23908347113155
"23","362421570668147","B",4,5,0.8,0.883079044829949,0.234041219248085,-0.354976123850581
"24","362421570668147","D",1,1,1,0.883079044829949,0.234041219248085,0.499574201269706
"25","38174543864515","B",20,20,1,0.883079044829949,0.234041219248085,0.499574201269706
"26","38174543864515","D",23,23,1,0.883079044829949,0.234041219248085,0.499574201269706
"27","402371639059063","B",27,27,1,0.883079044829949,0.234041219248085,0.499574201269706
"28","402371639059063","D",20,20,1,0.883079044829949,0.234041219248085,0.499574201269706
"29","42404690668940","B",17,17,1,0.883079044829949,0.234041219248085,0.499574201269706
"30","42404690668940","D",27,29,0.931034482758621,0.883079044829949,0.234041219248085,0.204901675366159
"31","459819203408978","A",19,19,1,0.883079044829949,0.234041219248085,0.499574201269706
"32","459819203408978","C",16,16,1,0.883079044829949,0.234041219248085,0.499574201269706
"33","512381829158551","A",18,18,1,0.883079044829949,0.234041219248085,0.499574201269706
"34","512381829158551","C",18,19,0.947368421052632,0.883079044829949,0.234041219248085,0.274692536764367
"35","522058605648886","A",28,29,0.96551724137931,0.883079044829949,0.234041219248085,0.352237938317933
"36","522058605648886","C",14,15,0.933333333333333,0.883079044829949,0.234041219248085,0.214724092896277
"37","563641349706418","B",2,2,1,0.883079044829949,0.234041219248085,0.499574201269706
"38","563641349706418","D",0,1,0,0.883079044829949,0.234041219248085,-3.77317742433173
"39","563859218939246","A",5,7,0.714285714285714,0.883079044829949,0.234041219248085,-0.721211977473562
"40","563859218939246","C",5,5,1,0.883079044829949,0.234041219248085,0.499574201269706
"41","56585762474570","A",24,24,1,0.883079044829949,0.234041219248085,0.499574201269706
"42","56585762474570","C",21,21,1,0.883079044829949,0.234041219248085,0.499574201269706
"43","668507302070680","A",13,15,0.866666666666667,0.883079044829949,0.234041219248085,-0.0701260154771521
"44","668507302070680","C",12,12,1,0.883079044829949,0.234041219248085,0.499574201269706
"45","696092780970702","B",3,3,1,0.883079044829949,0.234041219248085,0.499574201269706
"46","760791662383499","A",24,25,0.96,0.883079044829949,0.234041219248085,0.328664136245649
"47","760791662383499","C",31,31,1,0.883079044829949,0.234041219248085,0.499574201269706
"48","765625247183286","C",1,1,1,0.883079044829949,0.234041219248085,0.499574201269706
"49","781261847597636","D",2,2,1,0.883079044829949,0.234041219248085,0.499574201269706
"50","835804561913525","A",4,4,1,0.883079044829949,0.234041219248085,0.499574201269706
"51","835804561913525","C",6,6,1,0.883079044829949,0.234041219248085,0.499574201269706
"52","843798347728775","B",4,4,1,0.883079044829949,0.234041219248085,0.499574201269706
"53","843798347728775","D",4,6,0.666666666666667,0.883079044829949,0.234041219248085,-0.92467634059744
"54","845030447613389","D",1,4,0.25,0.883079044829949,0.234041219248085,-2.70498951793137
"55","849465825727611","A",2,2,1,0.883079044829949,0.234041219248085,0.499574201269706
"56","849465825727611","C",3,3,1,0.883079044829949,0.234041219248085,0.499574201269706
"57","864237546831637","B",3,6,0.5,0.883079044829949,0.234041219248085,-1.63680161153101
"58","864237546831637","D",2,8,0.25,0.883079044829949,0.234041219248085,-2.70498951793137
"59","874807326893128","B",28,28,1,0.883079044829949,0.234041219248085,0.499574201269706
"60","874807326893128","D",34,36,0.944444444444444,0.883079044829949,0.234041219248085,0.262199110958515
"61","916659229295256","A",2,2,1,0.883079044829949,0.234041219248085,0.499574201269706
"62","916659229295256","C",2,4,0.5,0.883079044829949,0.234041219248085,-1.63680161153101
"63","919215741319732","B",11,12,0.916666666666667,0.883079044829949,0.234041219248085,0.14351156580292
"64","919215741319732","D",5,5,1,0.883079044829949,0.234041219248085,0.499574201269706
